;version 0.2
;last updated: 09/17/2000
;
;L      ,R      ,B      ,N      ,S      ,D-L            ,D-R             ,D-B                 ,D-N                 ,D-S
0       ,0      ,0      ,0      ,161    ,   ,       ,       ,       ,(s-COMMA)
0       ,0      ,0      ,0      ,46     ,  ,       ,       ,       ,(s-PERIOD)
0       ,0      ,0      ,0      ,38     , ,       ,       ,       ,(s-AMPERND)
0       ,0      ,0      ,0      ,33     ,  ,       ,       ,       ,(s-EXCLAM)
0       ,0      ,0      ,0      ,45     ,   ,       ,       ,       ,(s-MINUS)
0       ,0      ,0      ,0      ,191    ,,       ,       ,       ,(s-A-QUESTION)
0       ,0      ,0      ,0      ,58     ,   ,       ,       ,       ,(s-COLON)
0       ,0      ,0      ,0      ,94     ,     ,       ,       ,       ,(s-HAT)
0       ,0      ,0      ,0      ,34     ,   ,       ,       ,       ,(s-QUOTE)
0       ,0      ,0      ,0      ,62     ,    ,       ,       ,       ,(s-LESS)
0       ,0      ,0      ,0      ,41     ,  ,       ,       ,       ,(s-L-PARN)
0       ,0      ,0      ,0      ,40     ,  ,       ,       ,       ,(s-R-PARN)
0       ,0      ,0      ,0      ,37     , ,       ,       ,       ,(s-PERCENT)
0       ,0      ,0      ,0      ,61     ,   ,       ,       ,       ,(s-EQUAL)
0       ,0      ,0      ,0      ,60     ,   ,       ,       ,       ,(s-GREAT)

;accents
0       ,0      ,0      ,0      ,248    ,  ,       ,       ,       ,(s-CHADDE)
0       ,0      ,0      ,0      ,240    ,  ,       ,       ,       ,(s-FATHA2)
0       ,0      ,0      ,0      ,250    ,  ,       ,       ,       ,(s-SUKUN)
0       ,0      ,0      ,0      ,242    ,  ,       ,       ,       ,(s-KASRA2)
0       ,0      ,0      ,0      ,241    ,  ,       ,       ,       ,(s-DAMME2)
0       ,0      ,0      ,0      ,243    ,  ,       ,       ,       ,(s-FATHA)
0       ,0      ,0      ,0      ,246    ,  ,       ,       ,       ,(s-KASRA)
0       ,0      ,0      ,0      ,245    ,  ,       ,       ,       ,(s-DAMME)
